,rank,username,language,solved easy,solved easy beats,solved medium,solved medium beats,solved hard,solved hard beats,subs,recent,active_days,adv_skills,int_skills,fund_skills
16,"14,485",dirigibility,"Python3_938,C_3,C++_2",256.0,99.1,511.0,99.4,171.0,99.4,"2,307","Find All Groups of Farmland,Make Costs of Paths Equal in a Binary Tree,Number of Adjacent Elements With the Same Color,Frequency Tracker,Find the Distinct Difference Array,Kth Smallest Amount With Single Denomination Combination,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Latest Time You Can Obtain After Replacing Characters,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference",256.0,"Dynamic Programming-163,Backtracking-36,Divide and Conquer-24,Trie-21,Union Find-18,Monotonic Stack-18,Segment Tree-12,Rolling Hash-10","Hash Table-197,Math-163,Greedy-104,Depth-First Search-98,Tree-86,Binary Search-79,Breadth-First Search-76,Bit Manipulation-75","Array-517,String-232,Sorting-132,Two Pointers-83,Matrix-67,Stack-52,Simulation-47,Linked List-43"
17,"684,389",bilyhurington,"C++_85,Java_43",32.0,66.0,68.0,80.0,27.0,83.5,173,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String",52.0,"Dynamic Programming-15,Monotonic Stack-5,Trie-4,Segment Tree-3,Shortest Path-3,Union Find-2,Binary Indexed Tree-2,Backtracking-1","Hash Table-28,Math-22,Greedy-21,Sliding Window-14,Binary Search-13,Bit Manipulation-13,Depth-First Search-11,Tree-8","Array-82,String-30,Sorting-16,Stack-12,Two Pointers-10,Enumeration-9,Matrix-8,Simulation-7"
18,"613,747",pandaforever,"C++_142,Python3_1",35.0,68.5,65.0,79.3,42.0,90.0,203,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",40.0,"Dynamic Programming-20,Segment Tree-10,Rolling Hash-8,Trie-8,Binary Indexed Tree-8,Divide and Conquer-3,Monotonic Stack-3,Union Find-2","Hash Table-29,Math-28,Greedy-25,Binary Search-16,Bit Manipulation-16,Sliding Window-11,Graph-8,Tree-4","Array-99,String-37,Sorting-14,Enumeration-12,Matrix-10,Simulation-9,Two Pointers-6,Stack-3"
19,"1,623",kmjp,C++_1658,417.0,99.8,835.0,99.91,404.0,99.94,433,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II",73.0,"Dynamic Programming-286,Union Find-51,Backtracking-46,Monotonic Stack-32,Bitmask-28,Trie-23,Segment Tree-22,Binary Indexed Tree-20","Hash Table-356,Math-294,Greedy-268,Binary Search-159,Bit Manipulation-131,Depth-First Search-115,Breadth-First Search-106,Graph-91","Array-1064,String-416,Sorting-270,Matrix-129,Simulation-113,Two Pointers-93,Stack-74,Enumeration-65"
20,"75,652",Turkhuu Batbayar,"C++_546,Python3_1",177.0,97.3,278.0,96.8,91.0,97.0,391,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II",127.0,"Dynamic Programming-101,Backtracking-16,Union Find-13,Monotonic Stack-11,Trie-9,Segment Tree-7,Binary Indexed Tree-6,Divide and Conquer-4","Hash Table-130,Math-100,Greedy-81,Depth-First Search-51,Binary Search-50,Breadth-First Search-42,Bit Manipulation-42,Tree-38","Array-337,String-118,Sorting-91,Matrix-44,Two Pointers-36,Simulation-32,Enumeration-23,Stack-21"
24,"743,482",arignote,"Java_111,Python3_4,C++_3",26.0,60.1,55.0,76.5,35.0,87.6,161,"Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Kth Smallest Amount With Single Denomination Combination,Minimum Sum of Values by Dividing Array,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Harshad Number,Count Alternating Subarrays,Minimize Manhattan Distances,Water Bottles II,Maximize Consecutive Elements in an Array After Modification,Minimum Cost to Convert String II,Subarrays Distinct Element Sum of Squares II",41.0,"Dynamic Programming-15,Trie-7,Rolling Hash-6,Segment Tree-6,Binary Indexed Tree-4,Union Find-2,Shortest Path-2,Data Stream-1","Hash Table-28,Greedy-22,Math-20,Sliding Window-12,Bit Manipulation-12,Graph-7,Binary Search-7,Tree-2","Array-81,String-32,Sorting-17,Simulation-10,Matrix-9,Enumeration-7,Two Pointers-4,Queue-2"
30,"106,802",Ashwanth K,"C++_462,Python_6,C_2",112.0,92.5,235.0,95.6,123.0,98.5,744,"Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k,Maximum Length Substring With Two Occurrences,Minimum Operations to Exceed Threshold Value I",103.0,"Dynamic Programming-104,Union Find-15,Monotonic Stack-14,Backtracking-13,Trie-13,Divide and Conquer-8,Segment Tree-8,Rolling Hash-6","Math-100,Hash Table-91,Greedy-67,Binary Search-49,Bit Manipulation-45,Sliding Window-33,Depth-First Search-28,Breadth-First Search-28","Array-299,String-102,Sorting-73,Two Pointers-34,Matrix-31,Stack-24,Simulation-22,Enumeration-18"
31,"363,170",MvKaio,C++_224,57.0,80.4,117.0,88.2,50.0,92.0,307,"Minimum Sum of Values by Dividing Array,Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Kth Smallest Amount With Single Denomination Combination,Minimum Cost Walk in Weighted Graph,Longest Strictly Increasing or Strictly Decreasing Subarray,Lexicographically Smallest String After Operations With Constraint,Minimum Operations to Make Median of Array Equal to K,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",48.0,"Dynamic Programming-43,Union Find-12,Segment Tree-6,Binary Indexed Tree-5,Trie-4,Divide and Conquer-3,Shortest Path-3,Rolling Hash-2","Hash Table-51,Greedy-42,Math-38,Binary Search-28,Bit Manipulation-20,Depth-First Search-18,Breadth-First Search-16,Graph-14","Array-141,String-47,Sorting-29,Matrix-15,Simulation-15,Enumeration-15,Two Pointers-11,Stack-8"
32,"5,295",Nguyễn Thảo,"Python3_1205,Go_10,MySQL_8",298.0,99.5,660.0,99.8,265.0,99.8,"4,077","Find All Groups of Farmland,Number of Islands,Minimum Time to Repair Cars,Island Perimeter,Count Submatrices with Top-Left Element and Sum Less Than k,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum,Smallest String Starting From Leaf,Find Triangular Sum of an Array,Sum of All Subset XOR Totals,Number of Sets of K Non-Overlapping Line Segments,Score of a String,Minimum Rectangles to Cover Points,Minimum Time to Visit Disappearing Nodes,XOR Queries of a Subarray",365.0,"Dynamic Programming-225,Backtracking-45,Union Find-44,Divide and Conquer-32,Trie-27,Monotonic Stack-25,Segment Tree-22,Rolling Hash-19","Hash Table-240,Math-201,Greedy-149,Depth-First Search-142,Binary Search-141,Breadth-First Search-117,Tree-112,Binary Tree-91","Array-691,String-290,Sorting-177,Two Pointers-107,Matrix-85,Stack-70,Simulation-61,Linked List-46"
33,"103,373",AntonRaichuk,C++_477,123.0,93.7,237.0,95.7,117.0,98.3,354,"Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II",63.0,"Dynamic Programming-78,Union Find-12,Trie-10,Monotonic Stack-10,Rolling Hash-9,Binary Indexed Tree-9,Segment Tree-9,Shortest Path-7","Hash Table-120,Math-89,Greedy-84,Binary Search-46,Bit Manipulation-44,Graph-29,Sliding Window-29,Breadth-First Search-26","Array-323,String-108,Sorting-86,Simulation-40,Matrix-36,Enumeration-27,Two Pointers-26,Stack-18"
35,"375,021",among us,C++_220,61.0,81.9,108.0,87.1,50.0,92.0,291,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",42.0,"Dynamic Programming-37,Trie-7,Rolling Hash-6,Segment Tree-6,Monotonic Stack-6,Union Find-5,Binary Indexed Tree-5,Shortest Path-4","Hash Table-45,Greedy-43,Math-43,Bit Manipulation-20,Binary Search-18,Graph-12,Breadth-First Search-11,Sliding Window-10","Array-147,String-54,Sorting-31,Matrix-21,Simulation-20,Enumeration-12,Stack-11,Two Pointers-11"
38,"257,374",Lucky Orb,"Python3_206,C++_96,Java_1",38.0,70.7,145.0,90.9,104.0,97.7,323,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",81.0,"Dynamic Programming-52,Monotonic Stack-15,Rolling Hash-10,Trie-9,Segment Tree-9,Shortest Path-9,Union Find-8,Bitmask-7","Hash Table-53,Greedy-51,Math-48,Binary Search-35,Graph-28,Bit Manipulation-27,Breadth-First Search-19,Depth-First Search-18","Array-187,String-67,Sorting-32,Stack-30,Matrix-26,Enumeration-17,Simulation-15,Two Pointers-12"
41,581,Dylan Smith,"Java_1883,C++_230,JavaScript_3",565.0,99.95,1117.0,99.97,433.0,99.95,994,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String",365.0,"Dynamic Programming-365,Backtracking-70,Union Find-59,Monotonic Stack-45,Divide and Conquer-38,Trie-37,Segment Tree-29,Bitmask-26","Hash Table-450,Math-371,Greedy-287,Depth-First Search-200,Binary Search-198,Breadth-First Search-162,Tree-161,Bit Manipulation-161","Array-1263,String-519,Sorting-322,Matrix-166,Two Pointers-154,Simulation-126,Stack-109,Enumeration-62"
45,"91,397",Zejun Wu,"C++_479,Ruby_28,Python_3",132.0,94.6,247.0,96.0,125.0,98.5,224,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",39.0,"Dynamic Programming-74,Union Find-14,Monotonic Stack-11,Backtracking-9,Trie-9,Bitmask-8,Segment Tree-8,Binary Indexed Tree-7","Hash Table-118,Math-90,Greedy-89,Binary Search-46,Bit Manipulation-43,Tree-30,Depth-First Search-30,Graph-29","Array-333,String-133,Sorting-79,Simulation-49,Matrix-38,Enumeration-30,Two Pointers-29,Stack-25"
46,"220,072",Nguyen Nguyen,C++_317,79.0,87.0,153.0,91.5,85.0,96.6,207,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",43.0,"Dynamic Programming-43,Monotonic Stack-9,Rolling Hash-8,Trie-6,Shortest Path-6,Backtracking-5,Union Find-5,Segment Tree-4","Hash Table-68,Greedy-58,Math-57,Binary Search-31,Graph-22,Bit Manipulation-20,Sliding Window-16,Breadth-First Search-15","Array-206,String-80,Sorting-41,Simulation-31,Matrix-21,Enumeration-19,Two Pointers-17,Stack-14"
47,294,Sam,"C++_2331,Python3_30,Python_11",594.0,99.96,1269.0,99.99,520.0,99.97,242,"Minimum Levels to Gain More Points,Shortest Subarray With OR at Least K I,Shortest Subarray With OR at Least K II,Find the Sum of Encrypted Integers,Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Count the Number of Powerful Integers,Minimum Number of Operations to Make Array XOR Equal to K,Minimum Number of Operations to Make X and Y Equal,Smallest Missing Integer Greater Than Sequential Prefix Sum,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points",45.0,"Dynamic Programming-409,Backtracking-92,Union Find-71,Monotonic Stack-47,Trie-42,Divide and Conquer-38,Bitmask-36,Segment Tree-32","Hash Table-494,Math-429,Greedy-291,Depth-First Search-255,Binary Search-217,Breadth-First Search-206,Tree-203,Bit Manipulation-168","Array-1355,String-616,Sorting-330,Matrix-192,Two Pointers-174,Stack-133,Simulation-126,Linked List-67"
49,158,OTTFF,"C++_2364,MySQL_173,Java_30",643.0,99.98,1339.0,99.99,562.0,99.99,300,"Minimum Sum of Values by Dividing Array,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays,Water Bottles II,Harshad Number,Longest Common Suffix Queries,Most Frequent IDs,Apply Operations to Make Sum of Array Greater Than or Equal to k",70.0,"Dynamic Programming-413,Backtracking-95,Union Find-70,Trie-51,Monotonic Stack-48,Bitmask-39,Divide and Conquer-39,Segment Tree-29","Hash Table-493,Math-418,Greedy-295,Depth-First Search-256,Binary Search-211,Tree-205,Breadth-First Search-205,Database-173","Array-1355,String-614,Sorting-313,Matrix-194,Two Pointers-175,Stack-138,Simulation-128,Linked List-69"
